Vuln. ID,Summary,Date,Severity,Ref. URL
AVD-2025-0282,Ivanti Connect Secure 栈溢出漏洞（CVE-2025-0282）,2025-01-09,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2025-0282
AVD-2024-50603,Aviatrix Controller cloud_type 命令执行漏洞（CVE-2024-50603）,2025-01-08,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-50603
AVD-2024-43441,Apache HugeGraph-Server JWT 权限绕过漏洞（CVE-2024-43441）,2024-12-24,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-43441
AVD-2024-56337,Apache Tomcat 条件竞争文件上传漏洞（CVE-2024-56337）,2024-12-21,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-56337
AVD-2024-56145,Craft CMS register_argc_argv 致模板注入代码执行漏洞（CVE-2024-56145）,2024-12-19,CVE EXP,https://avd.aliyun.com/detail?id=AVD-2024-56145
AVD-2024-50379,Apache Tomcat 条件竞争文件上传漏洞（CVE-2024-50379）,2024-12-17,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-50379
AVD-2024-53677,Apache Struts FileUploadInterceptor 目录遍历与文件上传漏洞（CVE-2024-53677）,2024-12-12,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-53677
AVD-2024-49112,Windows 轻量级目录访问协议（LDAP）远程代码执行漏洞（CVE-2024-49112）,2024-12-10,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-49112
AVD-2024-49113,Windows 轻量级目录访问协议（LDAP）信息泄漏与拒绝服务漏洞（CVE-2024-49113）,2024-12-10,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-49113
AVD-2024-42327,Zabbix user.get API SQL 注入漏洞（CVE-2024-42327）,2024-11-27,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-42327
AVD-2024-0012,Palo Alto Networks PAN-OS Management Web Interface 权限绕过漏洞（CVE-2024-0012）,2024-11-19,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-0012
AVD-2024-47208,Apache OFBiz Groovy表达式注入漏洞（CVE-2024-47208）,2024-11-18,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-47208
AVD-2024-50340,Symfony runtime 变量可控漏洞（CVE-2024-50340）,2024-11-07,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-50340
AVD-2024-51504,Apache ZooKeeper Admin Server IPAuthenticationProvider 认证绕过漏洞 （CVE-2024-51504）,2024-11-07,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-51504
AVD-2024-1757649,CyberPanel upgrademysqlstatus 远程命令执行漏洞（CVE-2024-51567）,2024-10-28,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-1757649
AVD-2024-50623,Cleo Synchronization 任意文件读取上传漏洞（CVE-2024-50623）,2024-10-27,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-50623
AVD-2024-47575,Fortinet FortiManager 身份认证绕过致代码执行漏洞（CVE-2024-47575）,2024-10-23,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-47575
AVD-2024-41713,Mitel Micollab NuPoint 文件读取漏洞（CVE-2024-41713）,2024-10-22,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-41713
AVD-2024-35286,Mitel Micollab NuPoint SQL注入漏洞（CVE-2024-35286）,2024-10-22,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-35286
AVD-2024-38819,Spring Framework 特定条件下目录遍历漏洞（CVE-2024-38819）,2024-10-17,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-38819
AVD-2024-45216,Apache Solr 认证绕过漏洞（CVE-2024-45216）,2024-10-16,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-45216
AVD-2024-31449,Redis Lua Script 溢出漏洞（CVE-2024-31449）,2024-10-07,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-31449
AVD-2024-9014,pgAdmin4 OAuth2 client ID与secret敏感信息泄漏漏洞（CVE-2024-9014）,2024-09-24,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-9014
AVD-2024-1748969,Gitlab SAML 身份认证绕过漏洞,2024-09-18,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-1748969
AVD-2024-46938,SiteCore 文件读取漏洞（CVE-2024-46938）,2024-09-16,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-46938
AVD-2024-38816,Spring Framework 特定条件下目录遍历漏洞（CVE-2024-38816）,2024-09-13,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-38816
AVD-2024-29847,Ivanti Endpoint Manager Agent Portal 存在反序列化漏洞(CVE-2024-29847),2024-09-12,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-29847
AVD-2024-37288,Kibana 8.15.1 Amazon Bedrock YAML 反序列化漏洞（CVE-2024-37288）,2024-09-09,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-37288
AVD-2024-37285,Kibana YAML 反序列化代码执行漏洞（CVE-2024-37285）,2024-09-06,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-37285
AVD-2024-45195,Apache OFBiz 远程代码执行漏洞（CVE-2024-45195）,2024-09-04,CVE PoC,https://avd.aliyun.com/detail?id=AVD-2024-45195
