Vuln. ID,Summary,Date,Severity,Ref. URL
CVE-2025-0974,"A vulnerability, which was classified as critical, has been found in MaxD Lightning Module 4.43 on OpenCart. This issue affects some unknown processing. The manipulation of the argument li_op/md leads to deserialization. The attack may be initiated remotely. The complexity of an attack is rather high. The exploitation is known to be difficult. The exploit has been disclosed to the public and may be used.",2025-2-2,"V4.0:(not available)
V3.1: 5.0 MEDIUM
V2.0:(not available)",https://nvd.nist.gov/vuln/detail/CVE-2025-0974
CVE-2025-0973,A vulnerability classified as critical was found in CmsEasy 7.7.7.9. This vulnerability affects the function backAll_action in the library lib/admin/database_admin.php of the file /index.php?case=database&act=backAll&admin_dir=admin&site=default. The manipulation of the argument select[] leads to path traversal. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. The vendor was contacted early about this disclosure but did not respond in any way.,2025-2-2,"V4.0:(not available)
V3.1: 5.4 MEDIUM
V2.0:(not available)",https://nvd.nist.gov/vuln/detail/CVE-2025-0973
CVE-2025-0972,A vulnerability classified as problematic has been found in Zenvia Movidesk up to 25.01.22. This affects an unknown part of the component New Ticket Handler. The manipulation of the argument subject leads to cross site scripting. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used. Upgrading to version 25.01.22.245a473c54 is able to address this issue. It is recommended to upgrade the affected component.,2025-2-2,"V4.0:(not available)
V3.1: 3.5 LOW
V2.0:(not available)",https://nvd.nist.gov/vuln/detail/CVE-2025-0972
CVE-2025-0971,A vulnerability was found in Zenvia Movidesk up to 25.01.22. It has been rated as problematic. Affected by this issue is some unknown functionality of the file /Account/EditProfile of the component Profile Editing. The manipulation of the argument username leads to cross site scripting. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. Upgrading to version 25.01.22.245a473c54 is able to address this issue. It is recommended to upgrade the affected component.,2025-2-2,"V4.0:(not available)
V3.1: 3.5 LOW
V2.0:(not available)",https://nvd.nist.gov/vuln/detail/CVE-2025-0971
CVE-2025-0970,A vulnerability was found in Zenvia Movidesk up to 25.01.22. It has been declared as problematic. Affected by this vulnerability is an unknown functionality of the file /Account/Login. The manipulation of the argument ReturnUrl leads to open redirect. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. Upgrading to version 25.01.22.245a473c54 is able to address this issue. It is recommended to upgrade the affected component.,2025-2-2,"V4.0:(not available)
V3.1: 4.3 MEDIUM
V2.0:(not available)",https://nvd.nist.gov/vuln/detail/CVE-2025-0970
CVE-2025-0967,A vulnerability was found in code-projects Chat System 1.0 and classified as critical. This issue affects some unknown processing of the file /user/add_chatroom.php. The manipulation of the argument chatname/chatpass leads to sql injection. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used.,2025-2-2,"V4.0:(not available)
V3.1: 6.3 MEDIUM
V2.0:(not available)",https://nvd.nist.gov/vuln/detail/CVE-2025-0967
CVE-2024-0131,NVIDIA GPU kernel driver for Windows and Linux contains a vulnerability where a potential user-mode attacker could read  a buffer with an incorrect length. A successful exploit of this vulnerability might lead to denial of service.,2025-2-1,"V4.0:(not available)
V3.x:(not available)
V2.0:(not available)",https://nvd.nist.gov/vuln/detail/CVE-2024-0131
CVE-2025-0961,"A vulnerability, which was classified as problematic, has been found in code-projects Job Recruitment 1.0. Affected by this issue is some unknown functionality of the file /_parse/load_job-details.php. The manipulation of the argument business_stream_name leads to cross site scripting. The attack may be launched remotely. The exploit has been disclosed to the public and may be used.",2025-2-1,"V4.0:(not available)
V3.1: 3.5 LOW
V2.0:(not available)",https://nvd.nist.gov/vuln/detail/CVE-2025-0961
CVE-2025-0950,A vulnerability was found in itsourcecode Tailoring Management System 1.0 and classified as critical. This issue affects some unknown processing of the file staffview.php. The manipulation of the argument staffid leads to sql injection. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used.,2025-2-1,"V4.0:(not available)
V3.1: 6.3 MEDIUM
V2.0:(not available)",https://nvd.nist.gov/vuln/detail/CVE-2025-0950
CVE-2025-0949,A vulnerability has been found in itsourcecode Tailoring Management System 1.0 and classified as critical. This vulnerability affects unknown code of the file partview.php. The manipulation of the argument typeid leads to sql injection. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used.,2025-2-1,"V4.0:(not available)
V3.1: 6.3 MEDIUM
V2.0:(not available)",https://nvd.nist.gov/vuln/detail/CVE-2025-0949
